x y z u v
0.511174 3.054091 0.000000 0.980623 -0.195902
6.680975 5.561407 0.000000 0.975254 -0.221088
6.140448 5.872044 0.000000 0.993316 -0.115428
3.344547 0.891404 0.000000 0.999278 -0.037989
4.093207 0.784104 0.000000 0.999410 0.034341
3.584224 5.445725 0.000000 0.999931 -0.011768
3.261564 4.902215 0.000000 0.997110 0.075971
3.853884 4.719528 0.000000 0.999746 -0.022533
4.648380 5.707120 0.000000 0.997297 -0.073476
5.157250 5.282950 0.000000 0.990083 -0.140480
4.329676 5.595614 0.000000 0.997647 -0.068560
4.596299 5.611947 0.000000 0.995314 -0.096696
4.796406 4.763786 0.000000 0.999095 -0.042535
5.006794 5.046246 0.000000 0.994770 -0.102144
6.832189 0.804837 0.000000 0.992479 -0.122412
6.264835 0.566886 0.000000 0.991647 0.128981
7.016978 5.198337 0.000000 0.906876 -0.421398
7.453125 5.950820 0.000000 0.996884 0.078886
1.975782 1.223322 0.000000 0.996258 0.086426
0.701007 0.427786 0.000000 0.998837 0.048221
3.560657 0.250605 0.000000 0.999886 0.015077
1.997723 0.775131 0.000000 0.999528 0.030724
1.299066 5.293578 0.000000 0.999122 -0.041903
5.855465 0.129700 0.000000 0.989497 0.144553
6.463127 0.449473 0.000000 0.991998 0.126253
6.247199 5.664361 0.000000 0.997247 -0.074154
5.426397 0.537620 0.000000 0.985547 0.169400
3.736089 5.226357 0.000000 0.999997 0.002596
8.274199 3.076447 0.000000 0.909151 -0.416467
8.250896 2.958316 0.000000 0.186330 -0.982487
8.673889 2.671364 0.000000 0.856973 -0.515361
1.290142 4.354080 0.000000 0.975390 0.220488
1.399672 4.836618 0.000000 0.999967 -0.008166
1.171342 1.518743 0.000000 0.997338 -0.072923
0.932732 1.334059 0.000000 0.999009 -0.044514
7.888669 4.549203 0.000000 0.979313 -0.202352
7.861876 4.766346 0.000000 0.998895 -0.047001
4.544218 3.051057 0.000000 0.694815 -0.719188
4.227627 3.103305 0.000000 0.857497 -0.514489
4.656652 3.111742 0.000000 0.539458 0.842012
4.808748 3.470860 0.000000 0.365519 0.930804
5.949428 4.829653 0.000000 0.992164 -0.124942
5.883950 5.192144 0.000000 0.978548 -0.206021
8.015625 5.933207 0.000000 0.997244 0.074192
8.296090 5.496816 0.000000 0.994343 0.106216
7.719480 2.032373 0.000000 0.857669 0.514202
8.090268 1.275758 0.000000 0.997149 0.075462
8.277717 4.850715 0.000000 0.996524 -0.083307
8.346941 4.467663 0.000000 0.980480 -0.196619
0.614041 5.058055 0.000000 0.998988 -0.044987
1.390009 5.313408 0.000000 0.999126 -0.041808
1.529117 0.914469 0.000000 0.998817 0.048630
0.884142 0.752601 0.000000 0.999575 0.029167
2.340876 0.417249 0.000000 0.999923 -0.012449
7.746138 1.352930 0.000000 0.985307 0.170791
8.154197 1.573322 0.000000 0.953890 0.300156
7.901575 0.662267 0.000000 0.992726 -0.120399
8.244351 0.934227 0.000000 0.999945 -0.010451
0.715895 1.846482 0.000000 0.963733 -0.266870
0.495895 1.576630 0.000000 0.985782 -0.168027
0.829871 4.304870 0.000000 0.975430 0.220308
0.549834 4.869698 0.000000 0.999922 -0.012505
7.356922 4.404734 0.000000 0.917129 -0.398591
7.826525 4.457944 0.000000 0.963538 -0.267570
2.553974 0.854306 0.000000 0.999869 0.016208
2.154346 1.290856 0.000000 0.997961 0.063827
6.279337 1.455598 0.000000 0.999315 0.036998
6.336189 0.943279 0.000000 0.974609 0.223913
1.889282 0.528027 0.000000 0.999857 0.016930
1.700694 5.866350 0.000000 0.999985 -0.005492
3.480844 1.584604 0.000000 0.992335 0.123575
3.126354 1.200912 0.000000 0.999953 0.009677
5.857475 0.790827 0.000000 0.973194 0.229985
5.400461 0.787984 0.000000 0.985768 0.168109
6.174801 4.711685 0.000000 0.954719 -0.297508
6.320910 4.727236 0.000000 0.999674 -0.025527
1.960577 4.450683 0.000000 0.989180 0.146710
2.089524 4.827854 0.000000 1.000000 0.000338
8.330595 2.792470 0.000000 0.669889 -0.742461
8.594047 2.418240 0.000000 0.743130 -0.669147
0.468953 0.506242 0.000000 0.998498 0.054794
0.565760 5.207772 0.000000 0.999609 -0.027973
0.372328 5.731330 0.000000 0.999452 -0.033104
8.435799 5.521298 0.000000 0.995953 0.089877
8.624133 5.040374 0.000000 0.999785 0.020750
6.684137 5.244223 0.000000 0.986000 -0.166745
6.139633 4.917212 0.000000 0.968472 -0.249124
3.254388 0.298514 0.000000 0.999999 -0.001195
5.637771 1.427168 0.000000 0.999973 -0.007354
5.783119 1.284503 0.000000 0.995027 0.099610
2.833982 4.894428 0.000000 0.999909 -0.013526
3.068011 4.955234 0.000000 0.999929 0.011938
8.640287 5.722923 0.000000 0.998902 0.046850
8.602675 5.313973 0.000000 0.997972 0.063662
3.377251 1.635797 0.000000 0.999060 0.043349
3.722847 1.544956 0.000000 0.999898 0.014286
7.104041 0.233080 0.000000 0.999336 0.036444
6.929529 0.579376 0.000000 0.977851 -0.209302
1.107789 1.912636 0.000000 0.931440 -0.363896
0.586563 1.715380 0.000000 0.990075 -0.140541
0.965768 2.042248 0.000000 0.935338 -0.353756
0.798475 2.321309 0.000000 0.844408 0.535701
0.441074 4.258182 0.000000 0.988977 0.148070
0.555531 0.395956 0.000000 0.998932 0.046210
0.337266 0.510315 0.000000 0.999565 0.029482
0.557237 5.381007 0.000000 0.999433 -0.033676
5.024306 0.796331 0.000000 0.993117 0.117125
5.309120 1.054316 0.000000 0.990546 0.137178
1.998833 5.567389 0.000000 0.999922 -0.012517
2.230386 5.581699 0.000000 0.999952 -0.009780
0.523110 2.014664 0.000000 0.966422 -0.256959
0.345569 2.183390 0.000000 0.922518 -0.385954
3.239061 0.924326 0.000000 0.998126 -0.061188
3.302525 0.520914 0.000000 0.999997 0.002626
5.972510 0.127224 0.000000 0.999705 0.024276
6.045805 0.237933 0.000000 0.977229 0.212188
4.184234 5.017457 0.000000 0.999141 -0.041451
4.253236 4.933350 0.000000 0.999831 -0.018366
4.446571 5.356663 0.000000 0.996512 -0.083452
4.488767 5.615512 0.000000 0.997444 -0.071451
3.715847 5.697227 0.000000 0.999966 -0.008274
0.902396 5.144612 0.000000 0.999364 -0.035650
1.484119 4.581135 0.000000 0.999589 0.028684
6.704916 1.303546 0.000000 0.980802 0.195008
6.637526 1.220989 0.000000 0.999906 0.013730
5.468492 5.736962 0.000000 0.986499 -0.163769
6.119019 5.235288 0.000000 0.953684 -0.300810
7.509500 4.805388 0.000000 0.988886 -0.148674
8.184910 4.600345 0.000000 0.988284 -0.152627
4.213597 4.232175 0.000000 0.999456 0.032983
4.597414 3.883139 0.000000 -0.188822 0.982011
8.257231 5.385198 0.000000 0.994210 0.107454
1.201795 4.017404 0.000000 0.936842 0.349754
7.151479 5.111897 0.000000 0.977586 0.210536
7.421707 5.111041 0.000000 0.998100 0.061619
4.488821 2.479616 0.000000 0.182029 0.983293
4.959115 1.924792 0.000000 0.999690 -0.024918
7.756122 5.247104 0.000000 0.993560 0.113307
0.439296 2.824280 0.000000 0.995937 -0.090050
0.724134 2.912192 0.000000 -0.817492 -0.575940
6.509737 0.545775 0.000000 0.976577 0.215167
1.536119 1.327408 0.000000 0.999757 0.022039
0.836282 1.127762 0.000000 0.999879 -0.015570
2.713572 4.798163 0.000000 0.992019 0.126087
2.727318 4.639795 0.000000 0.993895 -0.110326
3.048248 5.094480 0.000000 0.997856 0.065446
2.873249 5.525311 0.000000 0.999784 0.020804
4.907051 4.470738 0.000000 0.997787 0.066493
4.358917 4.581651 0.000000 0.999996 -0.002783
4.313991 2.932998 0.000000 0.785662 0.618656
4.735134 3.023075 0.000000 0.217096 -0.976150
6.888102 1.501061 0.000000 0.977180 0.212415
6.876983 1.267763 0.000000 0.916774 0.399406
1.710665 5.001800 0.000000 0.998307 -0.058159
1.943523 4.671004 0.000000 0.997579 0.069545
8.023735 0.650888 0.000000 0.986628 -0.162986
7.593750 5.901641 0.000000 0.999119 0.041967
1.795192 0.484712 0.000000 0.999697 0.024602
