x y z u v
0.511174 3.054091 0.000000 1.000000 0.000005
6.680975 5.561407 0.000000 0.999734 -0.023074
6.140448 5.872044 0.000000 0.997300 -0.073433
3.344547 0.891404 0.000000 0.999759 0.021938
4.093207 0.784104 0.000000 0.997515 0.070460
3.584224 5.445725 0.000000 0.998495 -0.054849
3.261564 4.902215 0.000000 0.999962 0.008722
3.853884 4.719528 0.000000 0.998986 -0.045033
4.648380 5.707120 0.000000 0.991671 -0.128794
5.157250 5.282950 0.000000 0.982763 -0.184870
4.329676 5.595614 0.000000 0.995478 -0.094996
4.596299 5.611947 0.000000 0.992673 -0.120834
4.796406 4.763786 0.000000 0.997405 -0.071993
5.006794 5.046246 0.000000 0.991125 -0.132930
6.832189 0.804837 0.000000 0.999916 -0.012937
6.264835 0.566886 0.000000 0.992696 0.120642
7.016978 5.198337 0.000000 0.997771 0.066730
7.453125 5.950820 0.000000 0.999898 0.014313
1.975782 1.223322 0.000000 0.994892 0.100947
0.701007 0.427786 0.000000 0.997960 0.063842
3.560657 0.250605 0.000000 0.999098 0.042461
1.997723 0.775131 0.000000 0.997378 0.072370
1.299066 5.293578 0.000000 0.997559 -0.069826
5.855465 0.129700 0.000000 0.993699 0.112078
6.463127 0.449473 0.000000 0.999171 0.040710
6.247199 5.664361 0.000000 0.996667 -0.081575
5.426397 0.537620 0.000000 0.981203 0.192980
3.736089 5.226357 0.000000 0.998923 -0.046397
8.274199 3.076447 0.000000 0.994305 -0.106575
8.250896 2.958316 0.000000 0.969429 -0.245370
8.673889 2.671364 0.000000 0.984368 -0.176122
1.290142 4.354080 0.000000 0.996036 0.088950
1.399672 4.836618 0.000000 0.998439 -0.055849
1.171342 1.518743 0.000000 0.999595 -0.028466
0.932732 1.334059 0.000000 0.999989 0.004633
7.888669 4.549203 0.000000 0.981158 -0.193206
7.861876 4.766346 0.000000 0.997944 0.064092
4.544218 3.051057 0.000000 0.999994 -0.003333
4.227627 3.103305 0.000000 0.999994 -0.003523
4.656652 3.111742 0.000000 0.999984 0.005581
4.808748 3.470860 0.000000 0.999822 0.018884
5.949428 4.829653 0.000000 0.994262 -0.106976
5.883950 5.192144 0.000000 0.973135 -0.230235
8.015625 5.933207 0.000000 0.993075 0.117479
8.296090 5.496816 0.000000 0.985404 0.170235
7.719480 2.032373 0.000000 0.835206 0.549937
8.090268 1.275758 0.000000 0.999811 -0.019447
8.277717 4.850715 0.000000 0.998627 0.052384
8.346941 4.467663 0.000000 0.998566 -0.053529
0.614041 5.058055 0.000000 0.998859 -0.047751
1.390009 5.313408 0.000000 0.996447 -0.084220
1.529117 0.914469 0.000000 0.996869 0.079073
0.884142 0.752601 0.000000 0.998734 0.050300
2.340876 0.417249 0.000000 0.999570 0.029333
7.746138 1.352930 0.000000 0.991184 0.132496
8.154197 1.573322 0.000000 0.988302 0.152509
7.901575 0.662267 0.000000 0.976316 -0.216350
8.244351 0.934227 0.000000 0.996033 -0.088984
0.715895 1.846482 0.000000 0.999992 -0.004025
0.495895 1.576630 0.000000 0.999477 -0.032333
0.829871 4.304870 0.000000 0.999184 0.040400
0.549834 4.869698 0.000000 0.998997 -0.044769
7.356922 4.404734 0.000000 0.931343 -0.364143
7.826525 4.457944 0.000000 0.983189 -0.182593
2.553974 0.854306 0.000000 0.998394 0.056656
2.154346 1.290856 0.000000 0.998640 0.052134
6.279337 1.455598 0.000000 0.999814 0.019302
6.336189 0.943279 0.000000 0.972621 0.232398
1.889282 0.528027 0.000000 0.998843 0.048093
1.700694 5.866350 0.000000 0.999916 -0.012987
3.480844 1.584604 0.000000 0.993102 0.117258
3.126354 1.200912 0.000000 0.999138 0.041524
5.857475 0.790827 0.000000 0.966238 0.257652
5.400461 0.787984 0.000000 0.982170 0.187994
6.174801 4.711685 0.000000 0.952127 -0.305702
6.320910 4.727236 0.000000 0.999992 0.004025
1.960577 4.450683 0.000000 0.995754 0.092052
2.089524 4.827854 0.000000 0.997511 -0.070514
8.330595 2.792470 0.000000 0.962497 -0.271292
8.594047 2.418240 0.000000 0.972267 -0.233875
0.468953 0.506242 0.000000 0.997761 0.066886
0.565760 5.207772 0.000000 0.999023 -0.044197
0.372328 5.731330 0.000000 0.998965 -0.045493
8.435799 5.521298 0.000000 0.990464 0.137772
8.624133 5.040374 0.000000 0.998786 0.049251
6.684137 5.244223 0.000000 0.995114 -0.098735
6.139633 4.917212 0.000000 0.967176 -0.254107
3.254388 0.298514 0.000000 0.999459 0.032886
5.637771 1.427168 0.000000 0.999257 -0.038553
5.783119 1.284503 0.000000 0.995069 0.099182
2.833982 4.894428 0.000000 0.998514 -0.054489
3.068011 4.955234 0.000000 0.999513 -0.031196
8.640287 5.722923 0.000000 0.995528 0.094467
8.602675 5.313973 0.000000 0.996242 0.086615
3.377251 1.635797 0.000000 0.997192 0.074883
3.722847 1.544956 0.000000 0.999861 0.016654
7.104041 0.233080 0.000000 0.999380 -0.035196
6.929529 0.579376 0.000000 0.997956 -0.063897
1.107789 1.912636 0.000000 0.999977 -0.006781
0.586563 1.715380 0.000000 0.999964 -0.008533
0.965768 2.042248 0.000000 0.999998 0.002058
0.798475 2.321309 0.000000 0.999989 -0.004771
0.441074 4.258182 0.000000 0.999966 0.008247
0.555531 0.395956 0.000000 0.998207 0.059851
0.337266 0.510315 0.000000 0.998941 0.046012
0.557237 5.381007 0.000000 0.998561 -0.053628
5.024306 0.796331 0.000000 0.987720 0.156235
5.309120 1.054316 0.000000 0.987344 0.158591
1.998833 5.567389 0.000000 0.998980 -0.045159
2.230386 5.581699 0.000000 0.999297 -0.037503
0.523110 2.014664 0.000000 1.000000 0.000610
0.345569 2.183390 0.000000 1.000000 -0.000022
3.239061 0.924326 0.000000 0.999960 0.008957
3.302525 0.520914 0.000000 0.998733 0.050330
5.972510 0.127224 0.000000 0.999081 0.042871
6.045805 0.237933 0.000000 0.995167 0.098197
4.184234 5.017457 0.000000 0.997192 -0.074888
4.253236 4.933350 0.000000 0.998502 -0.054718
4.446571 5.356663 0.000000 0.991237 -0.132094
4.488767 5.615512 0.000000 0.993327 -0.115329
3.715847 5.697227 0.000000 0.998500 -0.054760
0.902396 5.144612 0.000000 0.997632 -0.068776
1.484119 4.581135 0.000000 0.999998 0.002013
6.704916 1.303546 0.000000 0.984535 0.175189
6.637526 1.220989 0.000000 0.989231 0.146363
5.468492 5.736962 0.000000 0.974616 -0.223884
6.119019 5.235288 0.000000 0.953193 -0.302362
7.509500 4.805388 0.000000 0.998169 -0.060483
8.184910 4.600345 0.000000 0.999365 -0.035620
4.213597 4.232175 0.000000 0.999942 0.010774
4.597414 3.883139 0.000000 1.000000 0.000349
8.257231 5.385198 0.000000 0.974025 0.226438
1.201795 4.017404 0.000000 0.999976 0.006879
7.151479 5.111897 0.000000 0.993357 0.115076
7.421707 5.111041 0.000000 0.995366 0.096163
4.488821 2.479616 0.000000 1.000000 -0.000261
4.959115 1.924792 0.000000 0.999676 -0.025451
7.756122 5.247104 0.000000 0.983477 0.181034
0.439296 2.824280 0.000000 1.000000 -0.000014
0.724134 2.912192 0.000000 1.000000 -0.000006
6.509737 0.545775 0.000000 0.997188 0.074942
1.536119 1.327408 0.000000 0.998634 0.052246
0.836282 1.127762 0.000000 0.999622 0.027480
2.713572 4.798163 0.000000 0.999744 0.022617
2.727318 4.639795 0.000000 0.993292 -0.115635
3.048248 5.094480 0.000000 0.999899 -0.014224
2.873249 5.525311 0.000000 0.999628 -0.027264
4.907051 4.470738 0.000000 0.999650 -0.026460
4.358917 4.581651 0.000000 0.999550 -0.030006
4.313991 2.932998 0.000000 0.999998 0.001907
4.735134 3.023075 0.000000 1.000000 0.000140
6.888102 1.501061 0.000000 0.976768 0.214301
6.876983 1.267763 0.000000 0.919944 0.392049
1.710665 5.001800 0.000000 0.997418 -0.071811
1.943523 4.671004 0.000000 0.999965 -0.008411
8.023735 0.650888 0.000000 0.960432 -0.278514
7.593750 5.901641 0.000000 0.998098 0.061652
